scenario_id,time_s,x_ref_m,y_ref_m,z_ref_m,psi_ref_rad,x_m,y_m,z_m,vx_m_s,vy_m_s,vz_m_s,phi_rad,theta_rad,psi_rad,phi_deg,theta_deg,psi_deg,p_rad_s,q_rad_s,r_rad_s,phi_ref_rad,theta_ref_rad,phi_ref_deg,theta_ref_deg,position_error_x_m,position_error_y_m,position_error_z_m,position_error_m,u_thrust_N,u_tau_x_Nm,u_tau_y_Nm,u_tau_z_Nm,omega_1_rad_s,omega_2_rad_s,omega_3_rad_s,omega_4_rad_s,omega_mean_rad_s,omega_max_rad_s,battery_voltage_V,total_current_A,total_power_W,cumulative_energy_J,controller_wall_time_s
0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-0.00047770125295186505,0.0,0.0,-0.09552080089941162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0004777012529518,2.0004777012529518,20.3265593,0.0,0.0,0.0,712.856214464039,712.856214464039,712.856214464039,712.856214464039,712.856214464039,712.856214464039,10.5,40.354395988977345,423.72115788426214,4.237211578842621,0.00021604192443192005
0,0.01,0.0,0.0,2.0,0.0,0.0,0.0,-0.0018785981472472445,0.0,0.0,-0.18463962972375075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0018785981472473,2.0018785981472473,20.3265593,0.0,0.0,0.0,712.856214464039,712.856214464039,712.856214464039,712.856214464039,712.856214464039,712.856214464039,10.5,40.354395988977345,423.72115788426214,8.474423157685242,9.729200974106789e-05
0,0.02,0.0,0.0,2.0,0.0,0.0,0.0,-0.004127575889265451,0.0,0.0,-0.2651381377122135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0041275758892656,2.0041275758892656,20.3265593,0.0,0.0,0.0,712.856214464039,712.856214464039,712.856214464039,712.856214464039,712.856214464039,712.856214464039,10.5,40.354395988977345,423.72115788426214,12.711634736527863,0.00019787484779953957
0,0.03,0.0,0.0,2.0,0.0,0.0,0.0,-0.007132881183922983,0.0,0.0,-0.33590676762758254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.007132881183923,2.007132881183923,20.3265593,0.0,0.0,0.0,712.856214464039,712.856214464039,712.856214464039,712.856214464039,712.856214464039,712.856214464039,10.5,40.354395988977345,423.72115788426214,16.948846315370485,0.00010974984616041183
0,0.04,0.0,0.0,2.0,0.0,0.0,0.0,-0.010795470058131583,0.0,0.0,-0.39659676526448184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0107954700581314,2.0107954700581314,20.3265593,0.0,0.0,0.0,712.856214464039,712.856214464039,712.856214464039,712.856214464039,712.856214464039,712.856214464039,10.5,40.354395988977345,423.72115788426214,21.186057894213107,8.050003089010715e-05
0,0.05,0.0,0.0,2.0,0.0,0.0,0.0,-0.01501530640908572,0.0,0.0,-0.4473583170848063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0150153064090857,2.0150153064090857,20.3265593,0.0,0.0,0.0,712.856214464039,712.856214464039,712.856214464039,712.856214464039,712.856214464039,712.856214464039,10.5,40.354395988977345,423.72115788426214,25.42326947305573,8.933409117162228e-05
0,0.06,0.0,0.0,2.0,0.0,0.0,0.0,-0.01969540368961282,0.0,0.0,-0.48865103935632626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.019695403689613,2.019695403689613,20.3265593,0.0,0.0,0.0,712.856214464039,712.856214464039,712.856214464039,712.856214464039,712.856214464039,712.856214464039,10.5,40.354395988977345,423.72115788426214,29.66048105189835,9.08339861780405e-05
0,0.07,0.0,0.0,2.0,0.0,0.0,0.0,-0.02474425463196425,0.0,0.0,-0.5211110931101002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.024744254631964,2.024744254631964,20.3265593,0.0,0.0,0.0,712.856214464039,712.856214464039,712.856214464039,712.856214464039,712.856214464039,712.856214464039,10.5,40.354395988977345,423.72115788426214,33.89769263074097,6.808317266404629e-05
0,0.08,0.0,0.0,2.0,0.0,0.0,0.0,-0.030077143987001405,0.0,0.0,-0.5454606673413572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0300771439870013,2.0300771439870013,20.3265593,0.0,0.0,0.0,712.856214464039,712.856214464039,712.856214464039,712.856214464039,712.856214464039,712.856214464039,10.5,40.354395988977345,423.72115788426214,38.13490420958359,6.733299233019352e-05
0,0.09,0.0,0.0,2.0,0.0,0.0,0.0,-0.03561670966307771,0.0,0.0,-0.5624481706098855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0356167096630777,2.0356167096630777,20.3265593,0.0,0.0,0.0,712.856214464039,712.856214464039,712.856214464039,712.856214464039,712.856214464039,712.856214464039,10.5,40.354395988977345,423.72115788426214,42.37211578842621,8.383393287658691e-05
